MCONumber                               CompanyName                                        WKT
--------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
700                                     UHC of Southern Oregon                             POLYGON ((-124.07805215999998 44.83773702, -124.09369199999999 44.61234399, -124.10192303999999 44.405829989999994, -124.12661687999999 44.26967799, -124.15377996 43.995087989999995, -124.17929711999999 43.820037989999996, -124.23856212 43.57977003, -124.3
701                                     UHC of South Seattle                               MULTIPOLYGON (((-121.29804216 47.14822899, -121.29906707999999 47.14956099, -121.29931583999999 47.15095203, -121.30050492 47.15226702, -121.30177715999999 47.155938029999994, -121.30260299999999 47.15648604, -121.30537715999999 47.160568979999994, -121.30
702                                     UHC of South Puget Sound                           POLYGON ((-122.29109387999999 47.10375, -122.29151796 47.10376296, -122.29148088 47.10674898, -122.28991199999999 47.106576989999994, -122.28971111999999 47.107301039999996, -122.29040303999999 47.107386989999995, -122.29042895999999 47.108384009999995, -1
703                                     UHC of Inland Northwest                            POLYGON ((-121.37951591999999 47.08684899, -121.38237899999999 47.08534401, -121.38336 47.08416303, -121.38346908 47.083132979999995, -121.38055992 47.07959004, -121.37931504 47.075601959999993, -121.37526 47.073152969999995, -121.37526107999999 47.0729580
704                                     UHC of Western Oregon                              POLYGON ((-124.060392 44.92890396, -124.02653507999999 44.926837019999994, -124.02029087999999 44.926521029999996, -124.02310895999999 44.914491, -124.01670311999999 44.90805897, -124.01165196 44.90181801, -124.00770096 44.899443, -124.008147 44.8975770299
705                                     UHC of Hawaii                                      MULTIPOLYGON (((-155.20092408 19.971036989999998, -155.26705103999998 20.01832803, -155.34646487999998 20.055209039999998, -155.43758699999998 20.09833596, -155.49548688 20.11737096, -155.55844908 20.135811959999998, -155.58565896 20.12599701, -155.5945178
706                                     UHC of East Sacramento                             POLYGON ((-120.57571907999998 39.706534979999994, -120.65402483999999 39.70671597, -120.65393303999998 39.706316009999995, -120.65473008 39.70549602, -120.65398307999999 39.70314396, -120.65443595999999 39.702329999999996, -120.65436899999999 39.70139904, 
707                                     UHC of South Bay                                   POLYGON ((-122.11876115999999 37.50727302, -122.10419592 37.49082804, -122.05987415999999 37.46177703, -122.01740387999999 37.463974019999995, -121.97446812 37.46606499, -121.97648915999999 37.438154999999995, -121.97221812 37.438182989999994, -121.9639589
708                                     UHC of San Francisco                               MULTIPOLYGON (((-122.11876115999999 37.50727302, -122.13954107999999 37.50962697, -122.15873807999999 37.503035999999994, -122.17476887999999 37.51135299, -122.17932108 37.521082979999996, -122.19535115999999 37.53928602, -122.238693 37.556861039999994, -1
709                                     UHC of Fresno                                      POLYGON ((-119.20430196 37.837016999999996, -119.20330583999998 37.83502503, -119.20290587999999 37.83252501, -119.20200587999999 37.83052503, -119.20187915999999 37.829279969999995, -119.20260599999999 37.827225, -119.20522392 37.82637999, -119.21039712 3
710                                     UHC of Central Valley                              POLYGON ((-119.25785484 37.91176299, -119.32441415999999 37.97052102, -119.30800787999999 38.044728, -119.32299611999998 38.051561969999995, -119.33347715999999 38.07567504, -119.42685503999999 38.111069969999996, -119.44921787999999 38.091798989999994, -1
